19995,7450,0.260897,movie
19995,11551,0.258199,movie
19995,602,0.253024,movie
19995,80274,0.251106,movie
19995,440,0.249444,movie
19995,44943,0.243975,movie
19995,11954,0.243599,movie
19995,270938,0.239046,movie
19995,849,0.234404,movie
19995,137113,0.226779,movie
19995,50357,0.223887,movie
19995,18,0.222308,movie
19995,79698,0.221901,movie
19995,76757,0.221313,movie
19995,34851,0.219363,movie
285,58,0.4343,movie
285,1865,0.269408,movie
285,22,0.267104,movie
285,173,0.216506,movie
285,417859,0.206239,movie
285,87827,0.204124,movie
285,9804,0.1905,movie
285,72197,0.1875,movie
285,421,0.180499,movie
285,11968,0.176777,movie
285,33106,0.176777,movie
285,9570,0.176777,movie
285,9457,0.173344,movie
285,8054,0.171499,movie
285,205775,0.170572,movie
206647,10764,0.36799,movie
206647,36670,0.345215,movie
206647,37724,0.321798,movie
206647,657,0.278543,movie
206647,660,0.276956,movie
206647,681,0.235702,movie
206647,112949,0.231455,movie
206647,36669,0.229786,movie
206647,646,0.22964,movie
206647,709,0.225924,movie
206647,700,0.212219,movie
206647,36557,0.207129,movie
206647,668,0.193255,movie
206647,153397,0.184302,movie
206647,699,0.179284,movie
49026,155,0.423911,movie
49026,272,0.353553,movie
49026,2661,0.346688,movie
49026,364,0.333333,movie
49026,268,0.322749,movie
49026,414,0.316752,movie
49026,415,0.28677,movie
49026,18777,0.231125,movie
49026,209112,0.230967,movie
49026,142061,0.226805,movie
49026,21610,0.223607,movie
49026,9882,0.221163,movie
49026,34769,0.218218,movie
49026,102362,0.205738,movie
49026,49010,0.198889,movie
49529,200,0.242091,movie
49529,2067,0.225221,movie
49529,1771,0.218218,movie
49529,68179,0.216025,movie
49529,10016,0.213844,movie
49529,286217,0.211779,movie
49529,25763,0.208656,movie
49529,271110,0.208656,movie
49529,329540,0.20787,movie
49529,841,0.205738,movie
49529,47933,0.204124,movie
49529,18,0.202939,movie
49529,9664,0.202031,movie
49529,13836,0.200574,movie
49529,135397,0.200574,movie
559,558,0.485071,movie
559,557,0.44809,movie
559,102382,0.329998,movie
559,1930,0.289122,movie
559,6488,0.25332,movie
559,24418,0.226348,movie
559,1452,0.219382,movie
559,16353,0.208741,movie
559,10138,0.196818,movie
559,293660,0.194461,movie
559,2312,0.192187,movie
559,1924,0.18999,movie
